,ID,AlldataNum,unzerospeedNum,speed_min,speed_max,begintime,endtime,timeAll,drivingtime,timespaceMax,timespaceMode,roadNum,distance
12667,6a5fa2a95cb3911c,111,109,14,96,2016-08-08 10:00:17,2016-08-08 10:59:47,3570.0,3540.0,114.0,30.0,,74116
12698,cf5f086d3dd852e1,131,119,18,100,2016-08-08 10:00:20,2016-08-08 11:00:01,3581.0,2981.0,251.0,60.0,,72971
12699,049db64a3b545a33,137,135,45,79,2016-08-08 10:00:20,2016-08-08 10:56:20,3360.0,3301.0,31.0,30.0,,65149
12708,69e975ac9729cce7,134,124,4,75,2016-08-08 10:00:20,2016-08-08 10:59:57,3577.0,3277.0,30.0,30.0,,47020
12710,b0edd59a4634a583,119,119,33,87,2016-08-08 10:00:19,2016-08-08 11:00:06,3587.0,3587.0,77.0,30.0,,73119
12716,cc7a06248c3e57b2,292,223,2,55,2016-08-08 10:00:10,2016-08-08 11:00:00,3590.0,2741.0,36.0,11.0,,21800
12718,c4be624c82934d93,143,107,9,93,2016-08-08 10:00:18,2016-08-08 10:59:57,3579.0,2645.0,52.0,26.0,,51120
12722,4740e67b50e6f711,221,100,3,39,2016-08-08 10:00:19,2016-08-08 10:59:34,3555.0,1485.0,60.0,15.0,,5097
12723,ad1b2f77d2858602,226,197,2,61,2016-08-08 10:00:19,2016-08-08 11:00:04,3585.0,2505.0,60.0,15.0,,24487
12746,b8ecf5b48b641d06,145,132,8,96,2016-08-08 10:00:09,2016-08-08 10:56:07,3358.0,2986.0,31.0,30.0,,39355
12760,30c45718f269123e,162,141,53,104,2016-08-08 10:00:19,2016-08-08 10:59:47,3568.0,3037.0,126.0,26.0,,98354
12763,39825a230281532e,280,192,2,59,2016-08-08 10:00:06,2016-08-08 10:59:24,3558.0,2455.0,40.0,10.0,,21538
12765,891c326aabbbeee8,133,100,3,92,2016-08-08 10:00:19,2016-08-08 10:58:08,3469.0,2640.0,52.0,26.0,,41720
12770,7a397d32fc07f686,293,226,2,53,2016-08-08 10:00:16,2016-08-08 11:00:00,3584.0,2737.0,40.0,10.0,,21510
12776,423ec4b66ee49291,134,107,2,61,2016-08-08 10:00:14,2016-08-08 10:58:05,3471.0,2769.0,52.0,26.0,,15264
12777,cbefcc15e82c7e33,134,115,3,56,2016-08-08 10:00:19,2016-08-08 10:59:50,3571.0,2999.0,52.0,26.0,,27349
12778,ec53f6baf7cd5568,143,121,1,47,2016-08-08 10:00:17,2016-08-08 10:59:52,3575.0,3022.0,49.0,25.0,,22669
12782,b0de4c4ca900ecb4,311,247,2,55,2016-08-08 10:00:15,2016-08-08 11:00:06,3591.0,2903.0,30.0,10.0,,24571
12783,421537fdf5a56e42,135,117,3,56,2016-08-08 10:00:17,2016-08-08 10:59:57,3580.0,3089.0,52.0,26.0,,24179
12853,9407a51a69a5e9eb,156,129,8,60,2016-08-08 10:00:10,2016-08-08 11:00:03,3593.0,2788.0,31.0,30.0,,21710
12856,003ff0b75651cbd8,151,130,9,97,2016-08-08 10:00:18,2016-08-08 11:00:07,3589.0,2825.0,140.0,30.0,,33469
12857,56a7e108dabc8211,136,103,8,44,2016-08-08 10:00:19,2016-08-08 10:59:51,3572.0,2285.0,299.0,30.0,,16068
12864,01fcf743a566b7b2,139,112,2,62,2016-08-08 10:00:18,2016-08-08 10:59:51,3573.0,2874.0,51.0,26.0,,36815
12866,d63b6cd501309aac,139,103,2,57,2016-08-08 10:00:13,2016-08-08 10:59:49,3576.0,2680.0,51.0,26.0,,25028
12870,46d6d385965dea6f,116,109,55,90,2016-08-08 10:00:17,2016-08-08 10:57:45,3448.0,3323.0,62.0,31.0,,83498
12875,91d6e9b5c9346db4,117,101,1,40,2016-08-08 10:00:20,2016-08-08 10:59:56,3576.0,3125.0,120.0,30.0,,14461
12896,dc472af82bc0f5e8,241,239,14,103,2016-08-08 10:00:08,2016-08-08 11:00:08,3600.0,3570.0,16.0,15.0,,93698
12898,f1e0bbd4189583b6,225,169,4,54,2016-08-08 10:00:18,2016-08-08 10:59:53,3575.0,1335.0,65.0,15.0,,9240
12901,2514fbf9e8e44742,198,160,2,81,2016-08-08 10:00:19,2016-08-08 11:00:04,3585.0,2415.0,60.0,15.0,,24546
12913,12168120a651c0ea,118,103,2,98,2016-08-08 10:00:18,2016-08-08 10:59:48,3570.0,3060.0,90.0,30.0,,68585
12916,2ed7ebe0ced7c824,117,117,2,50,2016-08-08 10:00:19,2016-08-08 10:59:49,3570.0,3570.0,60.0,30.0,,29872
12919,ed7e7660565cda88,319,128,2,49,2016-08-08 10:00:15,2016-08-08 11:00:07,3592.0,1129.0,136.0,10.0,,8272
12959,7d0f1c9c63318f55,176,126,5,87,2016-08-08 10:00:17,2016-08-08 10:59:53,3576.0,1815.0,300.0,30.0,,19926
12963,4db4c048deda6543,154,150,14,96,2016-08-08 10:00:18,2016-08-08 10:57:40,3442.0,3362.0,52.0,26.0,,80513
12964,b9d16e3b7064c5b8,158,142,4,93,2016-08-08 10:00:19,2016-08-08 10:57:14,3415.0,2999.0,52.0,26.0,,73748
12976,39e5eb76353d0b91,192,151,2,50,2016-08-08 10:00:19,2016-08-08 10:59:29,3550.0,2020.0,120.0,10.0,,14441
12983,c1a71857d52e31c5,135,104,11,76,2016-08-08 10:00:21,2016-08-08 11:00:00,3579.0,2649.0,60.0,30.0,,35354
12987,9c7bb7edae06cd5f,126,120,5,76,2016-08-08 10:00:20,2016-08-08 10:56:45,3385.0,1857.0,313.0,15.0,,29925
13002,eed24661e9ec9a3f,210,173,3,86,2016-08-08 10:00:20,2016-08-08 10:59:47,3567.0,2595.0,60.0,15.0,,40906
13007,e7667393f405817e,152,132,5,74,2016-08-08 10:00:20,2016-08-08 10:55:15,3295.0,2010.0,609.0,15.0,,24190
13012,3c94fd5ab6b6df35,241,240,2,92,2016-08-08 10:00:01,2016-08-08 11:00:01,3600.0,3585.0,15.0,15.0,,66871
13014,638b5c1b271e6d8b,173,152,7,90,2016-08-08 10:00:18,2016-08-08 10:58:27,3489.0,3077.0,90.0,30.0,,50444
13024,1bdce1b61f2a7239,119,115,2,61,2016-08-08 10:00:19,2016-08-08 10:59:49,3570.0,3450.0,60.0,30.0,,21758
13026,ce27911f67ae0075,180,136,1,79,2016-08-08 10:00:20,2016-08-08 11:00:06,3586.0,2025.0,60.0,15.0,,26804
13055,1113c2124edbb3ac,118,115,2,71,2016-08-08 10:00:21,2016-08-08 10:59:51,3570.0,3480.0,60.0,30.0,,21178
13058,dcb3db715193c134,355,255,6,43,2016-08-08 10:00:17,2016-08-08 10:59:57,3580.0,2567.0,30.0,10.0,,16791
13070,d052d5a3455298fc,119,118,11,99,2016-08-08 09:57:12,2016-08-08 11:00:24,3792.0,3762.0,210.0,30.0,,88812
13071,03f34dd7c40aac09,132,110,37,81,2016-08-08 10:00:00,2016-08-08 10:55:30,3330.0,2670.0,189.0,30.0,,50451
13072,bc02522a89434b78,207,153,11,79,2016-08-08 07:32:01,2016-08-08 10:59:35,12454.0,9356.0,2503.0,1.0,,153715
13077,9e4615f24dcd0c5e,169,153,5,97,2016-08-08 10:00:19,2016-08-08 10:59:43,3564.0,3084.0,54.0,30.0,,49059
13081,5cb0c794f8a3fa77,313,306,7,54,2016-08-08 10:00:19,2016-08-08 11:00:03,3584.0,3164.0,60.0,4.0,,27000
13115,de0b07e3186b1ba3,202,193,11,91,2016-08-08 10:00:20,2016-08-08 11:00:01,3581.0,3379.0,137.0,30.0,,75245
13119,ad83621d0ab8b694,163,114,9,64,2016-08-08 10:00:19,2016-08-08 11:00:06,3587.0,2002.0,210.0,30.0,,18795
13124,e01d449610a419d3,173,133,10,71,2016-08-08 10:00:21,2016-08-08 10:59:43,3562.0,2392.0,31.0,30.0,,26617
13128,cbbcbc27d6b3d53b,118,100,5,87,2016-08-08 10:00:19,2016-08-08 10:59:49,3570.0,3060.0,60.0,30.0,,37268
13133,705ae8c5af403bb3,207,207,6,100,2016-08-08 10:00:21,2016-08-08 10:59:51,3570.0,3570.0,51.0,30.0,,86407
13135,7ab8ab4411ce19d3,602,442,5,71,2016-08-08 10:00:18,2016-08-08 10:59:38,3560.0,2440.0,315.0,5.0,,25437
13138,a73b36866f22bdc3,118,104,5,95,2016-08-08 10:00:18,2016-08-08 10:59:38,3560.0,3120.0,60.0,30.0,,57547
13146,00c03132d40b4ec1,116,108,13,52,2016-08-08 10:00:17,2016-08-08 11:00:05,3588.0,3329.0,91.0,30.0,,30542
13150,8c8a9fbc6ea4a0ce,118,114,2,59,2016-08-08 10:00:14,2016-08-08 10:58:19,3485.0,3428.0,243.0,30.0,,31646
